kpi_name,kpi_id,branch,unit,year,month,day,numerator,denominator,value
Cho_Nhap,4,HCM,HUBTAN,2026,6,18,280.0,17.0,16.470588235294116
Cho_Nhap,4,LDG,HUBDKG,2026,6,11,538.0,14.0,38.42857142857143
Cho_Nhap,4,DNG,HUBQNM,2026,6,9,173.0,25.0,6.92
Cho_Nhap,4,LOG,TTKT1,2026,6,3,7081.0,120.0,59.00833333333333
Cho_Nhap,4,NBH,HUBNBH,2026,6,10,215.0,14.0,15.357142857142858
Cho_Nhap,4,HPG,HUBHDG,2026,6,17,120.0,25.0,4.8
Cho_Nhap,4,LOG,TTKNB,2026,6,15,23.0,5.0,4.6
Cho_Nhap,4,HCM,QU8,2026,6,4,9.0,1.0,9.0
Cho_Nhap,4,KHA,HUBNTN,2026,6,1,53.0,15.0,3.533333333333333
Cho_Nhap,4,VLG,HUBTVH,2026,6,7,25.0,8.0,3.125
Cho_Nhap,4,QTI,HUBQBH,2026,6,14,355.0,15.0,23.666666666666668
Cho_Nhap,4,QTI,HUBQTI,2026,6,4,57.0,14.0,4.071428571428571
Cho_Nhap,4,DLK,HUBDLK,2026,6,10,1235.0,37.0,33.37837837837838
Cho_Nhap,4,TQG,HUBTQG,2026,6,15,64.0,10.0,6.4
Cho_Nhap,4,HYN,HUBHYN,2026,6,6,399.0,27.0,14.777777777777779
Cho_Nhap,4,LOG,DCCNKT3,2026,6,2,3666.0,117.0,31.333333333333332
Cho_Nhap,4,PHO,HUBVPC,2026,6,7,636.0,20.0,31.8
Cho_Nhap,4,HNI,HNIDDA,2026,6,13,26.0,2.0,13.0
Cho_Nhap,4,LDG,HUBBTN,2026,6,19,124.0,16.0,7.75
Cho_Nhap,4,PHO,HUBPHO,2026,6,4,712.0,22.0,32.36363636363637
Cho_Nhap,4,LDG,HUBLDG01,2026,6,7,1597.0,24.0,66.54166666666667
Cho_Nhap,4,HCM,HUBBDG,2026,6,7,107.0,8.0,13.375
Cho_Nhap,4,KHA,HUBNTN,2026,6,6,94.0,17.0,5.529411764705882
Cho_Nhap,4,DTP,HUBTGG,2026,6,3,336.0,23.0,14.608695652173912
Cho_Nhap,4,LCI,HUBYBN,2026,6,19,110.0,8.0,13.75
Cho_Nhap,4,TNN,HUBBKN,2026,6,5,47.0,5.0,9.4
Cho_Nhap,4,QTI,HUBQBH,2026,6,15,185.0,18.0,10.277777777777779
Cho_Nhap,4,BNH,HUBBGG,2026,6,1,1278.0,37.0,34.54054054054054
Cho_Nhap,4,VLG,HUBTVH,2026,6,10,26.0,11.0,2.3636363636363638
Cho_Nhap,4,LOG,TTKT4,2026,6,2,1188.0,85.0,13.976470588235294
Cho_Nhap,4,LOG,TTTK3K2,2026,6,11,53.0,1.0,53.0
Cho_Nhap,4,HCM,HBHCTD,2026,6,12,11.0,1.0,11.0
Cho_Nhap,4,AGG,HUBAGG,2026,6,5,164.0,22.0,7.454545454545454
Cho_Nhap,4,LSN,HUBLSN,2026,6,11,27.0,8.0,3.375
Cho_Nhap,4,HNI,HN01,2026,6,5,4.0,1.0,4.0
Cho_Nhap,4,HNI,HN02,2026,6,12,20.0,1.0,20.0
Cho_Nhap,4,LOG,TTKT1,2026,6,9,7438.0,113.0,65.82300884955752
Cho_Nhap,4,HNI,HUBTTI,2026,6,9,1068.0,60.0,17.8
Cho_Nhap,4,LDG,HUBLDG03,2026,6,3,140.0,9.0,15.555555555555555
Cho_Nhap,4,HTH,HUBHTH,2026,6,15,88.0,11.0,8.0
Cho_Nhap,4,DLK,HUBDLK,2026,6,6,1106.0,36.0,30.72222222222222
Cho_Nhap,4,QNH,HUBQNH,2026,6,17,1373.0,24.0,57.208333333333336
Cho_Nhap,4,LDG,HUBLDG03,2026,6,2,401.0,14.0,28.642857142857142
Cho_Nhap,4,HCM,QU2,2026,6,1,335.0,3.0,111.66666666666667
Cho_Nhap,4,DBN,HBDBTG,2026,6,3,56.0,2.0,28.0
Cho_Nhap,4,HTH,HUBHTH,2026,6,8,262.0,13.0,20.153846153846153
Cho_Nhap,4,KHA,HUBNTN,2026,6,15,53.0,18.0,2.9444444444444446
Cho_Nhap,4,TNN,HUBTNN,2026,6,5,132.0,22.0,6.0
Cho_Nhap,4,BNH,HUBBGG,2026,6,17,582.0,30.0,19.4
Cho_Nhap,4,LOG,LOGTDC,2026,6,5,251.0,9.0,27.88888888888889
Cho_Nhap,4,KHA,HUBNTN,2026,6,9,50.0,16.0,3.125
Cho_Nhap,4,HNI,HN01,2026,6,13,2.0,1.0,2.0
Cho_Nhap,4,HCM,HUBTAN,2026,6,10,142.0,12.0,11.833333333333334
Cho_Nhap,4,LDG,HUBLDG01,2026,6,6,2137.0,25.0,85.48
Cho_Nhap,4,LCI,HUBYBN,2026,6,2,277.0,14.0,19.785714285714285
Cho_Nhap,4,QTI,HUBQBH,2026,6,16,262.0,17.0,15.411764705882353
Cho_Nhap,4,BNH,HUBBNH,2026,6,3,414.0,26.0,15.923076923076923
Cho_Nhap,4,HTH,HUBHTH,2026,6,6,304.0,14.0,21.714285714285715
Cho_Nhap,4,DTP,HUBDTP,2026,6,17,209.0,20.0,10.45
