kpi_id,unit_id,month,year,target_value,
3,HUBPHO,7,2026,0.983892,
3,HUBPHO,8,2026,0.983892,
3,HUBPHO,9,2026,0.954954,
3,HUBPHO,10,2026,0.954954,
3,HUBPHO,11,2026,0.954954,
3,HUBPHO,12,2026,0.945308,
3,HUBSLA,1,2026,0.882,
3,HUBSLA,2,2026,0.891,
3,HUBSLA,3,2026,0.909,
3,HUBSLA,4,2026,0.909,
3,HUBSLA,5,2026,0.9,
3,HUBSLA,6,2026,0.918,
3,HUBSLA,7,2026,0.918,
3,HUBSLA,8,2026,0.918,
3,HUBSLA,9,2026,0.891,
3,HUBSLA,10,2026,0.891,
3,HUBSLA,11,2026,0.891,
3,HUBSLA,12,2026,0.882,
3,HUBVPC,1,2026,0.91826,
3,HUBVPC,2,2026,0.92763,
3,HUBVPC,3,2026,0.94637,
3,HUBVPC,4,2026,0.94637,
3,HUBVPC,5,2026,0.937,
3,HUBVPC,6,2026,0.95574,
3,HUBVPC,7,2026,0.95574,
3,HUBVPC,8,2026,0.95574,
3,HUBVPC,9,2026,0.92763,
3,HUBVPC,10,2026,0.92763,
3,HUBVPC,11,2026,0.92763,
3,HUBVPC,12,2026,0.91826,
3,HUBYBN,1,2026,0.886018,
3,HUBYBN,2,2026,0.895059,
3,HUBYBN,3,2026,0.913141,
3,HUBYBN,4,2026,0.913141,
3,HUBYBN,5,2026,0.9041,
3,HUBYBN,6,2026,0.922182,
3,HUBYBN,7,2026,0.922182,
3,HUBYBN,8,2026,0.922182,
3,HUBYBN,9,2026,0.895059,
3,HUBYBN,10,2026,0.895059,
3,HUBYBN,11,2026,0.895059,
3,HUBYBN,12,2026,0.886018,
3,HUBBNH,1,2026,0.934234,
3,HUBBNH,2,2026,0.943767,
3,HUBBNH,3,2026,0.962833,
3,HUBBNH,4,2026,0.962833,
3,HUBBNH,5,2026,0.9533,
3,HUBBNH,6,2026,0.972366,
3,HUBBNH,7,2026,0.972366,
3,HUBBNH,8,2026,0.972366,
3,HUBBNH,9,2026,0.943767,
3,HUBBNH,10,2026,0.943767,
3,HUBBNH,11,2026,0.943767,
3,HUBBNH,12,2026,0.934234,
3,HUBHDG,1,2026,0.932078,
3,HUBHDG,2,2026,0.941589,
3,HUBHDG,3,2026,0.960611,
3,HUBHDG,4,2026,0.960611,
3,HUBHDG,5,2026,0.9511,
3,HUBHDG,6,2026,0.970122,
3,HUBHDG,7,2026,0.970122,
3,HUBHDG,8,2026,0.970122,
3,HUBHDG,9,2026,0.941589,
3,HUBHDG,10,2026,0.941589,
3,HUBHDG,11,2026,0.941589,
3,HUBHDG,12,2026,0.932078,
3,HUBHNM,1,2026,0.88298,
3,HUBHNM,2,2026,0.89199,
3,HUBHNM,3,2026,0.91001,
3,HUBHNM,4,2026,0.91001,
3,HUBHNM,5,2026,0.901,
3,HUBHNM,6,2026,0.91902,
3,HUBHNM,7,2026,0.91902,
3,HUBHNM,8,2026,0.91902,
3,HUBHNM,9,2026,0.89199,
3,HUBHNM,10,2026,0.89199,
3,HUBHNM,11,2026,0.89199,
3,HUBHNM,12,2026,0.88298,
3,HUBHPG,1,2026,0.877492,
3,HUBHPG,2,2026,0.886446,
3,HUBHPG,3,2026,0.904354,
3,HUBHPG,4,2026,0.904354,
3,HUBHPG,5,2026,0.8954,
3,HUBHPG,6,2026,0.913308,
