year,month,day,unit,branch,previous_inbound_ton,previous_inbound_vol
2026,6,9,DSBGG,,0.19999999999999998,29.0
2026,6,9,DSBNH,,1.205549,85.0
2026,6,9,DSHDG,,1.1197869999999999,93.0
2026,6,9,DSKV3,,18.980401666666666,1268.0
2026,6,9,DSKV4,,0.169549,13.0
2026,6,9,DSKV5,,42.712579,3634.0
2026,6,9,DSVPC,,8.886600999999999,767.0
2026,6,9,HBBDHN,,0.9477329999999999,408.0
2026,6,9,HBHCGV,,1.563049,2896.0
2026,6,9,HBHCTB,,1.572581,2397.0
2026,6,9,HBHCTD,,0.7025049999999999,1059.0
2026,6,9,HCM01,,0.61437,868.0
2026,6,9,HCM04,,0.933568,1273.0
2026,6,9,HCM09,,0.412228,43.0
2026,6,9,HCM12,,0.726027,1101.0
2026,6,9,HCMTTOG,,0.04256,2.0
2026,6,9,HN02,,0.3211,24.0
2026,6,9,HN03,,0.6909299999999999,811.0
2026,6,9,HN04,,1.1707269999999999,1415.0
2026,6,9,HN07,,0.14568699999999998,188.0
2026,6,9,HN08,,1.913543,2707.0
2026,6,9,HN10,,1.53121,2146.0
2026,6,9,HNIDDA,,1.630169,2327.0
2026,6,9,HNIHKM,,1.327383,1733.0
2026,6,9,HUBAGG,AGG,18.827609,7146.0
2026,6,9,HUBBDG,HCM,15.936019,7469.0
2026,6,9,HUBBGG,BNH,18.154821,8823.0
2026,6,9,HUBBHD,GLI,1.8673899999999999,1057.0
2026,6,9,HUBBKN,TNN,3.931543,1273.0
2026,6,9,HUBBLU,CMU,10.717559999999999,3936.0
2026,6,9,HUBBNH,BNH,18.29527633333333,11851.0
2026,6,9,HUBBPC,DNI,11.398385,3538.0
2026,6,9,HUBBTE,VLG,15.016632999999999,5125.0
2026,6,9,HUBBTN,LDG,23.436275666666667,6686.0
2026,6,9,HUBCMU,CMU,12.883010333333333,4641.0
2026,6,9,HUBDBN,DBN,0.783612,137.0
2026,6,9,HUBDKG,LDG,1.5523559999999998,404.0
2026,6,9,HUBDLK,DLK,8.194379999999999,4738.0
2026,6,9,HUBDNG,DNG,3.4518579999999996,2671.0
2026,6,9,HUBDNI,DNI,21.029483,9462.0
2026,6,9,HUBDTP,DTP,17.63261833333333,5791.0
2026,6,9,HUBGLI,GLI,0.331183,173.0
2026,6,9,HUBHBH,PHO,12.592101,4382.0
2026,6,9,HUBHCM,,16.861704,750.0
2026,6,9,HUBHDG,HPG,19.767029,9819.0
2026,6,9,HUBHGG,TQG,4.147222,754.0
2026,6,9,HUBHNI,HNI,4.074387,224.0
2026,6,9,HUBHNM,NBH,12.668019333333334,4484.0
2026,6,9,HUBHPG,HPG,40.352264,15791.0
2026,6,9,HUBHTH,HTH,4.894062,1503.0
2026,6,9,HUBHUE,HUE,5.645324,1958.0
2026,6,9,HUBHYN,HYN,21.91992157142857,8472.0
2026,6,9,HUBKGG01,AGG,15.85939,5285.0
2026,6,9,HUBKGG02,AGG,3.9070739999999997,1948.0
2026,6,9,HUBKHA,KHA,18.635918,4477.0
2026,6,9,HUBKTM,QNI,0.005483,1.0
2026,6,9,HUBLAN,TNH,43.424552,15966.0
2026,6,9,HUBLBN,HNI,16.568213,8348.0
2026,6,9,HUBLCI01,LCI,2.7676369999999997,963.0
2026,6,9,HUBLCI02,LCI,1.364754,509.0
2026,6,9,HUBLDG01,LDG,14.168524,3152.0
2026,6,9,HUBLDG03,LDG,5.684708,1434.0
2026,6,9,HUBLSN,LSN,8.063189999999999,2458.0
2026,6,9,HUBNAN,NAN,19.672634,7340.0
2026,6,9,HUBNBH,NBH,11.580264,4515.0
2026,6,9,HUBNDH,NBH,17.023321,7408.0
2026,6,9,HUBNTN,KHA,0.33518,76.0
2026,6,9,HUBPHO,PHO,14.730513,7640.0
2026,6,9,HUBPYN,DLK,4.251412999999999,1001.0
2026,6,9,HUBQBH,QTI,7.335573999999999,1618.0
2026,6,9,HUBQNH,QNH,21.824742,7405.0
2026,6,9,HUBQNI,QNI,8.301276999999999,3168.0
2026,6,9,HUBQNM,DNG,8.53065,3675.0
2026,6,9,HUBQTI,QTI,2.974754,1075.0
2026,6,9,HUBSLA,SLA,0.004,1.0
2026,6,9,HUBSTG,CTO,8.808558999999999,2290.0
2026,6,9,HUBTAN,HCM,2.078666,520.0
2026,6,9,HUBTBH,HYN,20.376320333333332,7715.0
2026,6,9,HUBTGG,DTP,17.435485,4370.0
2026,6,9,HUBTHA,THA,25.29926,9282.0
2026,6,9,HUBTNH,TNH,18.610066333333332,7330.0
2026,6,9,HUBTNN,TNN,15.198943,6641.0
2026,6,9,HUBTQG,TQG,8.748151,3495.0
2026,6,9,HUBTTI,HNI,26.63683,20728.0
2026,6,9,HUBTTO,,17.411823,12537.0
2026,6,9,HUBTVH,VLG,9.19201,3020.0
2026,6,9,HUBVPC,PHO,6.671532,4175.0
2026,6,9,HUBVTU,HCM,16.090558666666666,4605.0
2026,6,9,HUBYAN,HNI,9.350128,4856.0
2026,6,9,HUBYBN,LCI,13.914318,4688.0
2026,6,9,LOGBN,TTKT5,142.42417,34538.0
2026,6,9,LOGTDC,,19.395453,11333.0
2026,6,9,QU6,,0.368708,541.0
2026,6,9,QU8,,0.718602,991.0
2026,6,9,TTDAD,,4.651573,2440.0
2026,6,9,TTKNB,,19.054699,22812.0
2026,6,9,TTKT1,TTKT1,111.611955,59727.0
2026,6,9,TTKT2,TTKT2,35.664218,12026.0
2026,6,9,TTKT3,TTKT3,104.68118466666667,50955.0
2026,6,9,TTKT4,TTKT4,68.854912,16551.0
2026,6,9,TTKT5,TTKT5,221.32055242857143,107237.0
2026,6,9,TTSGN,,12.52557,15477.0
2026,6,9,TTTK3K2,TTKT3,19.802542499999998,5813.0
2026,6,10,BBSDPG,HNI,0.717414,31.0
2026,6,10,DCCNKT3,TTKT3,113.31114266666667,63030.0
2026,6,10,DSBDG,,0.860807,110.0
2026,6,10,DSBGG,,0.055999999999999994,1.0
2026,6,10,DSBNH,,0.449889,46.0
2026,6,10,DSKV3,,40.66312211111111,2973.0
2026,6,10,DSKV4,,0.70104,853.0
2026,6,10,DSKV5,,40.837143,3856.0
2026,6,10,DSLAN,,0.640398,18.0
2026,6,10,DSVPC,,8.907022,793.0
2026,6,10,DTHCM,,0.000419,3.0
2026,6,10,HBBDHN,,1.757827,516.0
2026,6,10,HBHCGV,,0.488465,818.0
2026,6,10,HBHCTB,,1.4535879999999999,2074.0
2026,6,10,HCM01,,0.069023,36.0
2026,6,10,HCM06,,1.1933799999999999,1746.0
2026,6,10,HCM09,,1.1269339999999999,173.0
2026,6,10,HCM10,,0.042196,67.0
2026,6,10,HCM12,,0.106432,164.0
2026,6,10,HN01,,0.35181399999999996,496.0
2026,6,10,HN02,,0.261758,20.0
2026,6,10,HN03,,1.033317,1283.0
2026,6,10,HN04,,1.161393,1481.0
2026,6,10,HN07,,0.015312,6.0
2026,6,10,HN08,,2.613006,3507.0
2026,6,10,HN09,,0.051541,11.0
2026,6,10,HN10,,1.5631359999999999,2056.0
2026,6,10,HNIDDA,,1.6910999999999998,2434.0
2026,6,10,HNIHKM,,1.3788749999999999,1819.0
2026,6,10,HNM01,,0.0007,1.0
2026,6,10,HUBAGG,AGG,18.304519,6965.0
2026,6,10,HUBBDG,HCM,16.580609,7298.0
2026,6,10,HUBBGG,BNH,19.350040999999997,8403.0
2026,6,10,HUBBHD,GLI,7.244173,1903.0
2026,6,10,HUBBKN,TNN,4.059088,1003.0
2026,6,10,HUBBLU,CMU,9.302489,3412.0
2026,6,10,HUBBNH,BNH,18.434580666666665,13047.0
2026,6,10,HUBBPC,DNI,13.594111999999999,3521.0
2026,6,10,HUBBTE,VLG,14.248659,3980.0
2026,6,10,HUBBTN,LDG,14.072517999999999,2654.0
2026,6,10,HUBCMU,CMU,10.908394,4217.0
2026,6,10,HUBDBN,DBN,0.554221,86.0
2026,6,10,HUBDKG,LDG,5.9913359999999996,1687.0
2026,6,10,HUBDLK,DLK,15.087644,4148.0
2026,6,10,HUBDNG,DNG,5.670889,5769.0
2026,6,10,HUBDNI,DNI,11.991741333333334,3106.0
2026,6,10,HUBDTP,DTP,20.625186,6484.0
2026,6,10,HUBGLI,GLI,0.880123,987.0
2026,6,10,HUBHBH,PHO,12.523581,4545.0
2026,6,10,HUBHCM,,11.695997,474.0
2026,6,10,HUBHDG,HPG,18.450321,9172.0
2026,6,10,HUBHGG,TQG,3.597636,819.0
2026,6,10,HUBHNI,HNI,2.7421189999999998,137.0
2026,6,10,HUBHNM,NBH,12.276703999999999,5302.0
2026,6,10,HUBHPG,HPG,47.674997999999995,15732.0
2026,6,10,HUBHTH,HTH,7.340818,1552.0
2026,6,10,HUBHUE,HUE,9.169943,3250.0
2026,6,10,HUBHYN,HYN,22.388688,7949.0
2026,6,10,HUBKGG01,AGG,20.957024999999998,7134.0
2026,6,10,HUBKGG02,AGG,2.396065,1350.0
2026,6,10,HUBKHA,KHA,11.694963,1978.0
2026,6,10,HUBKTM,QNI,0.0972,7.0
2026,6,10,HUBLAN,TNH,25.513247333333332,8378.0
2026,6,10,HUBLBN,HNI,14.429354,10047.0
2026,6,10,HUBLCI01,LCI,6.4460646666666666,2151.0
2026,6,10,HUBLCI02,LCI,1.7888959999999998,388.0
2026,6,10,HUBLDG01,LDG,0.122819,30.0
2026,6,10,HUBLDG03,LDG,7.790732333333333,1821.0
2026,6,10,HUBLSN,LSN,9.269900999999999,3020.0
2026,6,10,HUBNAN,NAN,27.324787999999998,8196.0
2026,6,10,HUBNBH,NBH,9.479757,4358.0
2026,6,10,HUBNDH,NBH,14.350826999999999,6329.0
2026,6,10,HUBNTN,KHA,0.438058,179.0
2026,6,10,HUBPHO,PHO,16.944354,7455.0
2026,6,10,HUBPYN,DLK,6.160464,2074.0
2026,6,10,HUBQBH,QTI,8.439259,1630.0
2026,6,10,HUBQNH,QNH,22.701065,9617.0
2026,6,10,HUBQNI,QNI,6.9804216,2662.0
2026,6,10,HUBQNM,DNG,5.94895,2983.0
2026,6,10,HUBQTI,QTI,7.2695099999999995,1263.0
2026,6,10,HUBSTG,CTO,11.428486,4359.0
2026,6,10,HUBTAN,HCM,1.4234259999999999,1351.0
2026,6,10,HUBTBH,HYN,19.31670733333333,7174.0
2026,6,10,HUBTGG,DTP,8.858439333333333,3264.0
2026,6,10,HUBTHA,THA,26.999177,9229.0
2026,6,10,HUBTNH,TNH,16.794396,6101.0
2026,6,10,HUBTNN,TNN,11.774028999999999,6322.0
2026,6,10,HUBTQG,TQG,8.104781,3487.0
2026,6,10,HUBTTI,HNI,31.423105157894735,19905.0
2026,6,10,HUBTTO,,16.884714,11361.0
2026,6,10,HUBTVH,VLG,11.062486,4114.0
2026,6,10,HUBVPC,PHO,14.718577999999999,6934.0
2026,6,10,HUBVTU,HCM,8.724554666666666,3378.0
2026,6,10,HUBYAN,HNI,10.985844,5848.0
2026,6,10,HUBYBN,LCI,14.727224,4520.0
2026,6,10,LOGBN,TTKT5,160.37201399999998,37976.0
2026,6,10,LOGTDC,,9.218365,9777.0
2026,6,10,QU5,,0.07905899999999999,110.0
2026,6,10,QU6,,0.24493399999999999,315.0
2026,6,10,QU8,,0.538258,766.0
2026,6,10,TML,,0.519269,697.0
2026,6,10,TTDAD,,7.033634999999999,2367.0
2026,6,10,TTHDG,,0.02,1.0
2026,6,10,TTKNB,,20.676721999999998,26057.0
2026,6,10,TTKT1,TTKT1,109.104226,60915.0
2026,6,10,TTKT2,TTKT2,61.228607999999994,27039.0
2026,6,10,TTKT3,TTKT3,111.26120033333332,52270.0
2026,6,10,TTKT4,TTKT4,58.13758766666666,15672.0
2026,6,10,TTKT5,TTKT5,208.89067738095238,115492.0
2026,6,10,TTSGN,,22.8962,20227.0
2026,6,10,TTTK3K2,TTKT3,18.727943,4512.0
2026,6,11,BBSDPG,HNI,1.069,16.0
2026,6,11,DCCNKT3,TTKT3,95.375469,59821.0
2026,6,11,DSBDG,,9.297227,746.0
2026,6,11,DSBNH,,0.403549,29.0
2026,6,11,DSDNI,,2.320077,136.0
2026,6,11,DSHDG,,0.049999999999999996,2.0
